log(n_SO2),log(n_POM)
3.1456863853340806,4.9267879539523225
2.4462713693068396,2.053583927369522
14.309106995473764,13.453092404669459
4.231549918619204,4.65642791288132
5.063174102450663,7.759293800566287
2.2335431488472675,1.011517921825827
-1.2590348021278448,0.5036457694235903
7.780168094323372,7.909184941081352
10.006797830503118,9.997013083480752
2.937959442536025,2.2982085648354547
7.951655749416908,7.021996562973941
2.2914873257225805,1.532582998820486
1.239018842065851,4.062989830816393
14.396409683168798,13.589625886952835
7.2705369513812315,8.111705644636533
1.8551894819801136,4.938177700593216
6.313862467906439,5.518359549005266
14.918554775616677,14.144265723675337
1.8271028733348267,1.7641956728569266
3.839677211796595,4.340695237404709
8.66692177926527,7.477189504674348
5.279190958618507,6.885894198167074
1.8183387061987286,2.2892154194778147
4.785553841656605,4.580766433429036
15.115211240312124,15.643710483251438
4.304353545472054,4.23778082610202
6.559288890431041,7.247030548417282
5.610881424812392,6.581358356155921
1.4267744734963883,5.27631804058909
0.741159418730104,3.3214352340213296
10.989074025603674,10.551674473799716
5.043569515476143,6.028617315669328
0.3225681666925295,0.3583041577905708
4.573143943266773,5.017052602459443
14.168193197274896,13.809691763395389
7.308614359374109,6.9415357604875245
-0.8578501371917691,-0.963130519668522
6.963381456188166,7.836770556098789
2.416189034096722,1.7371948348124016
4.944160430241831,5.436014621964506
1.0272003398003973,2.4102040876840523
2.7043749764109055,3.946309290013642
2.3284060523068084,2.4957981699883627
9.317168701128418,7.7075385403189465
0.6405343455238173,-0.42006202973202944
14.817103080413457,13.566487864517663
5.264267357381798,5.344777780137921
13.980445658084243,12.236848793704986
0.5045429187682355,4.09492809230415
8.068392781837076,9.66201857732134
9.36535965598343,8.777498729874674
1.403580012940652,1.015181454135448
1.8306372854899182,3.2969098480708334
9.301905816094324,7.998090532153413
15.461188776386097,15.533671934401882
5.369068942966653,5.792274319189359
4.207877534628368,3.2618629495772398
8.883216528587024,9.184130074632694
6.388282059631791,5.886977994326503
7.995927748392668,7.371984738965434
7.695263387339801,6.550626145948257
11.611232975008319,10.857030192638895
2.097907587570887,4.472354194468479
3.188402461126869,4.675107893516192
-0.6308167978207377,0.526830565886165
6.814684417154164,7.70413018481002
5.7615647776778705,6.746712742665513
6.145169392343018,7.5374821309282725
1.9521005982644186,1.1627255002582668
3.9213928744520747,4.015554902930677
13.758578484671494,12.193209099602166
2.5192358256301013,2.210809571223527
-0.9643045550021716,-0.39157655821059567
6.573412574052604,5.979018296003539
8.216933255384001,8.013606691304801
9.890512548230216,9.396509827100658
5.796181758034045,5.951012323352461
1.6679256160046716,4.494312458873633
5.2456526886965795,5.61422384387866
14.113289100454836,12.810927518793658
4.945941432583178,6.831577037392737
